일자,기온,풍속(m/s),풍향(16방위),습도(%),증기압(hPa),현지기압(hPa),일조(hr),일사(MJ/m2),지면온도(°C),오 존,이산화질소,일산화탄소,아황산가스,PM10,PM2.5
2020-01-01-00,-6.5,0,0,38,1.4,1022.6,,,-2.8,,,,,,
2020-01-01-01,-5.9,1.7,50,40,1.6,1021.8,,,-2.4,0.002,0.036,0.6,0.003,30,16
2020-01-01-02,-5.7,0.1,0,42,1.7,1021.6,,,-2.4,0.001,0.036,0.6,0.003,34,18
2020-01-01-03,-5.6,0,0,46,1.8,1021.5,,,-2.7,0.002,0.038,0.8,0.003,35,22
2020-01-01-04,-5.4,0,0,50,2,1021.6,,,-2.5,0.001,0.034,0.6,0.003,34,19
2020-01-01-05,-5.2,0,0,55,2.3,1021.1,,,-2.2,0.001,0.034,0.5,0.003,29,16
2020-01-01-06,-4.8,1.9,70,58,2.5,1021.3,,,-2.1,0.001,0.034,0.5,0.003,30,17
2020-01-01-07,-4.6,2.1,50,62,2.7,1021.6,,,-2,0.001,0.037,0.6,0.003,33,17
2020-01-01-08,-4.6,1.8,50,64,2.8,1021.7,0,0,-1.9,0.001,0.031,0.6,0.003,31,19
2020-01-01-09,-4.3,2.3,50,70,3.1,1022.2,0,0.04,-1.6,0.002,0.036,0.6,0.003,33,21
2020-01-01-10,-4.2,1.9,70,76,3.4,1022.8,0,0.17,-1.1,0.003,0.032,0.6,0.003,32,20
2020-01-01-11,-3.4,1.5,70,75,3.6,1022.4,0,0.41,-0.4,0.004,0.03,0.6,0.003,41,26
2020-01-01-12,-2.2,1.7,50,72,3.8,1021.4,0.5,1,-0.1,0.006,0.031,0.7,0.003,42,28
2020-01-01-13,-1,1.6,90,67,3.8,1020.6,0,0.93,0.4,0.007,0.034,0.6,0.004,50,28
2020-01-01-14,-0.4,1.2,90,65,3.9,1020.5,0,0.89,0.4,0.007,0.032,0.6,0.004,44,27
2020-01-01-15,0.3,0,0,62,3.9,1020.4,0.3,0.68,0.8,0.006,0.037,0.6,0.003,51,30
2020-01-01-16,0.3,0,0,64,4,1020.8,0,0.32,0.1,0.004,0.033,0.7,0.004,50,28
2020-01-01-17,0.2,0.9,290,65,4,1020.8,0,0.09,-0.2,0.002,0.041,0.8,0.003,56,30
2020-01-01-18,0.1,0.8,50,66,4.1,1020.8,0,0,-0.1,0.001,0.038,0.7,0.003,52,31
2020-01-01-19,0.1,0.3,0,65,4,1020.8,,,-0.1,0.001,0.037,0.6,0.003,46,29
2020-01-01-20,0,1.7,70,67,4.1,1020.5,,,-0.1,0.001,0.04,0.7,0.003,46,30
2020-01-01-21,-0.4,2.5,50,71,4.2,1020.7,,,-0.3,0.001,0.038,0.8,0.003,53,35
2020-01-01-22,-0.9,1.5,50,71,4.1,1020.8,,,-0.3,0.001,0.037,0.8,0.003,51,34
2020-01-01-23,-0.9,1,50,70,4,1021,,,-0.3,0.002,0.037,0.8,0.003,47,32
2020-01-02-00,-0.7,2.1,70,70,4.1,1020.3,,,-0.4,0.002,0.039,0.8,0.003,48,33
2020-01-02-01,-0.7,2.2,50,72,4.2,1019.8,,,-0.3,0.002,0.037,0.9,0.004,55,37
2020-01-02-02,-0.6,2.2,70,70,4.1,1019.4,,,-0.4,0.001,0.036,0.8,0.003,51,36
2020-01-02-03,-0.6,2.3,70,70,4.1,1019.3,,,-0.4,0.001,0.036,0.8,0.003,50,37
2020-01-02-04,-0.7,2.1,50,70,4.1,1019.3,,,-0.4,0.001,0.034,0.6,0.003,48,33
2020-01-02-05,-0.5,1.5,20,67,4,1019.3,,,-0.5,0.002,0.033,0.7,0.003,53,36
2020-01-02-06,-0.6,1.7,50,69,4.1,1019.4,,,-0.5,0.001,0.032,0.6,0.003,54,33
2020-01-02-07,-0.5,1.9,50,65,3.8,1019.6,,,-0.6,0.001,0.038,0.7,0.004,53,32
2020-01-02-08,-0.4,2.3,70,67,4,1019.6,0,0,-0.6,0.001,0.047,0.8,0.004,54,35
2020-01-02-09,-0.1,2.4,70,67,4.1,1020.1,0,0.07,-0.3,0.002,0.043,1,0.004,66,40
2020-01-02-10,0.7,2,50,62,4,1020.1,0,0.28,-0.2,0.002,0.051,1.1,0.004,67,40
2020-01-02-11,1.7,2,50,57,3.9,1019.9,0,0.59,0,0.002,0.047,1.1,0.004,74,45
2020-01-02-12,2.5,1,50,56,4.1,1019,0,0.64,0.9,0.002,0.051,1.2,0.004,80,49
2020-01-02-13,3.4,1.8,200,56,4.4,1017.9,0,0.67,1.7,0.003,0.046,1,0.004,84,56
2020-01-02-14,3.7,2.3,290,58,4.6,1017.5,0,0.45,1.3,,,,,,
2020-01-02-15,3.8,2.8,290,58,4.6,1017.8,0,0.4,1.5,,,,,,
2020-01-02-16,3.7,2.5,290,58,4.6,1017.9,0,0.27,1,0.005,0.036,0.7,0.004,,
2020-01-02-17,3.3,3.1,270,62,4.8,1017.9,0,0.1,0.5,0.003,0.036,0.7,0.004,80,54
2020-01-02-18,2.7,2.2,270,61,4.5,1017.5,0,0,-0.7,0.003,0.038,0.7,0.004,79,53
2020-01-02-19,2,2,290,64,4.5,1017.8,,,-0.1,0.01,0.028,0.7,0.004,82,49
2020-01-02-20,1.2,0.7,320,66,4.4,1018,,,-0.3,0.006,0.033,0.7,0.004,75,50
2020-01-02-21,0.5,0.9,270,68,4.3,1018.3,,,-0.4,0.005,0.031,0.7,0.003,78,51
2020-01-02-22,0.3,0.4,0,70,4.4,1018.2,,,-0.5,0.004,0.033,0.7,0.003,75,49
2020-01-02-23,-0.4,1.5,270,74,4.4,1018.2,,,-0.8,0.002,0.035,0.8,0.003,77,51
2020-01-03-00,0,2.6,270,74,4.5,1017.9,,,-0.8,0.002,0.036,0.8,0.003,74,49
2020-01-03-01,-0.5,1.4,290,78,4.6,1017.8,,,-1,0.003,0.035,0.8,0.003,81,53
2020-01-03-02,-1.1,1.4,360,80,4.5,1017.7,,,-1.4,0.002,0.036,0.8,0.003,80,55
2020-01-03-03,-1.5,1.5,290,82,4.5,1017.2,,,-1.6,0.006,0.026,0.8,0.003,79,57
2020-01-03-04,-1.8,2.2,270,81,4.3,1017.1,,,-1.5,0.006,0.026,0.8,0.003,80,55
2020-01-03-05,-2,1.5,290,81,4.3,1017,,,-1.9,0.003,0.029,0.8,0.003,83,56
2020-01-03-06,-2.5,2.4,290,85,4.3,1017,,,-2,0.002,0.03,0.8,0.003,83,54
2020-01-03-07,-3,1.4,290,86,4.2,1016.9,,,-2.4,0.002,0.029,0.8,0.003,80,50
2020-01-03-08,-3.3,1.7,270,86,4.1,1017,0,0,-2.6,0.002,0.03,0.8,0.003,78,52
2020-01-03-09,-2.6,2.2,290,74,3.7,1017.3,0.7,0.3,-1.9,0.002,0.033,0.9,0.003,84,50
2020-01-03-10,-1,2.2,320,60,3.4,1018,1,0.86,-0.9,0.009,0.031,0.9,0.005,79,50
